chamber,drained_wt_g,filled_wt_g,water_temp_C,water_wt_g,water_volume_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,percent_cover,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,2746,5460,NA,2714,2.714,NA,3,30.4,0.0285,0.1205,0.7806,5.6654,1,0.8064,3.1664,1.993,1.9452,1.1866,1.1388,11.39231935,0.458918646,11.5,11,5,0.017601317,50,48.768636560348796,-12.827346634852693,61.59598319520149,13C,13,134.21983118812193,106.26858809382261,-27.95124309429932,3499.509905719072,2770.737926051147,-728.7719796679246,ambient
2,2455,5272,NA,2817,2.817,NA,1,22.774,0.0418,0.1069,0.7247,5.0195,2,0.7978,3.077,1.543,1.497,0.7452,0.6992,5.515497173,0.340462788,10.75,6,7.25,0.013251864,60,33.39773086082248,-9.381917001848747,42.779647862671226,10C,10,125.65146433175312,98.09509890056611,-27.556365431186993,3228.1985283482554,2520.228917292124,-707.9696110561312,ambient
3,2869,5595,NA,2726,2.726,NA,4,12.935,0.0456,0.1089,0.7472,5.156,3,0.8001,3.331,1.952,1.887,1.1519,1.0869,4.473079105,0.252409186,9.5,9,7.75,0.016095306,NA,53.15346432461887,-15.520068092797786,68.67353241741665,16C,16,272.0722391514572,210.584508301607,-61.48773084985023,4266.6807588135725,3302.420241318734,-964.260517494839,ambient
4,2595,5331,NA,2736,2.736,NA,2,42.414,0.0591,0.1183,0.8422,5.2502,4,0.8011,3.1341,2.069,2.027,1.2679,1.2259,17.1585816,0.568389011,10,9.25,4.5,0.013115778,75,35.2969623441904,-12.691873067227064,47.98883541141746,7C,7,84.42956229394353,62.10000837646454,-22.329553917478997,3658.863043535615,2691.183271338566,-967.6797721970488,ambient
5,2837,5517,NA,2680,2.68,NA,4,44.929,0.0804,0.1361,0.8809,5.095,5,0.8024,3.6018,2.837,2.796,2.0346,1.9936,25.37968333,0.511435671,10,9.5,6.5,0.015746143,75,77.19376792563148,-19.926373160281038,97.12014108591251,16C,16,189.89708108551645,150.9354397879523,-38.961641297564164,6167.868606674822,4902.392155693713,-1265.4764509811093,ambient
6,2774,5513,NA,2739,2.739,NA,1,27.251,0.0857,0.1046,0.8917,5.0719,6,0.8034,3.5128,1.518,1.455,0.7146,0.6516,5.543601856,0.488730642,12.5,3.75,6.25,0.01104649,75,30.87023662449758,-10.503768596631566,41.374005221129146,10C,10,84.65604909038862,63.16411121301778,-21.491937877370837,3745.443595307572,2794.5742606472804,-950.8693346602917,ambient
7,2385,5263,NA,2878,2.878,NA,4,32.835,0.0644,0.0911,0.7297,5.1207,7,0.8013,4.6307,3.225,3.177,2.4237,2.3757,17.18577958,0.34035459,10.5,9,3.75,0.012567151,50,36.395701871586795,-12.577429583079672,48.973131454666465,16C,16,143.8885588546535,106.93465856178638,-36.95390029286713,3896.9159720183566,2896.0980791578613,-1000.8178928604957,ambient
8,2032,5049,NA,3017,3.017,NA,3,22.109,0.0608,0.0982,0.6348,5.0873,8,0.7991,3.1076,2.073,2.032,1.2739,1.2329,9.063153269,0.291694233,7.5,7.25,3.5,0.007748686,50,29.649056929790678,-8.366461527417975,38.01551845720866,13C,13,130.32660284788233,101.6443027510615,-28.682300096820818,4906.060002587362,3826.333513810042,-1079.7264887773197,ambient
9,2564,5378,NA,2814,2.814,NA,1,25.403,0.0529,0.1123,0.6862,4.9957,9,0.8065,3.0511,1.527,1.47,0.7205,0.6635,5.998774704,0.474573433,12,8,6.5,0.016131767,80,29.08478122202528,-9.586126237660457,38.670907459685736,10C,10,81.48561375471209,61.28615552321759,-20.199458231494507,2397.1898093795758,1802.950738256093,-594.239071123483,ambient
10,2737,5439,NA,2702,2.702,NA,4,46.382,0.0506,0.1395,0.7641,5.1495,10,0.8156,4.9706,2.831,2.751,2.0154,1.9354,18.80623723,0.746501428,14,10,6.75,0.021742777,50,57.08679053374124,-19.958412334470182,77.04520286821142,16C,16,103.20837975438062,76.47244652523456,-26.735933229146056,3543.4849406868043,2625.551949217031,-917.9329914697732,ambient
11,2546,5356,NA,2810,2.81,NA,1,33.563,0.09,0.163,0.9008,6.1675,11,0.8118,3.1088,2.503,2.467,1.6912,1.6552,18.25841019,0.388660576,10,10.25,6,0.016035587,75,45.782271295121596,-11.054665494598408,56.836936789720006,10C,10,146.23797806989307,117.7949967714801,-28.44298129841296,3544.4250833923325,2855.0418076445594,-689.3832757477733,ambient
12,2291,5200,NA,2909,2.909,NA,3,14.709,0.0647,0.1164,0.6014,5.1415,12,0.8026,3.1853,1.382,1.321,0.5794,0.5184,2.67553907,0.2816843,9,6.75,7.25,0.012325629,NA,29.83923292114525,-8.432743077781655,38.271975998926905,13C,13,135.86833202605507,105.93147335916574,-29.936858666889336,3105.072852584392,2420.9095471837786,-684.1633054006132,ambient
13,2684,5433,NA,2749,2.749,NA,2,27.304,0.0613,0.0915,0.6356,5.075,13,0.8068,4.0663,1.927,1.861,1.1202,1.0542,7.52181118,0.44317045,12,10.5,6.75,0.019878793,75,27.220251718096513,-9.259417733769718,36.47966945186623,7C,7,82.31521179236168,61.421630702355074,-20.893581090006606,1835.1048502726615,1369.3110903713577,-465.7937599013038,ambient
14,2262,5159,NA,2897,2.897,NA,3,22.552,0.0489,0.1153,0.6613,5.3394,14,0.7867,3.0557,1.941,1.896,1.1543,1.1093,8.519086821,0.332113755,11,7,4,0.010970153,75,45.66255236302215,-10.186600079918637,55.84915244294079,13C,13,168.16272015876243,137.49069912211903,-30.672021036643415,5091.009436508387,4162.43532455948,-928.574111948907,ambient
15,2428,5301,NA,2873,2.873,NA,2,20.166,0.0568,0.11,0.8526,6.3861,15,0.8048,3.0333,1.473,1.408,0.6682,0.6032,4.442330531,0.43213332,11.5,7.5,6,0.014322191,70,19.259696724600115,-8.801339865040976,28.06103658964109,7C,7,64.93606322613839,44.568876856337106,-20.367186369801285,1959.2698204933233,1344.7451388268817,-614.5246816664417,ambient
16,2156,5090,NA,2934,2.934,NA,2,32.956,0.0429,0.0999,0.8124,5.7181,16,0.7988,3.9282,2.059,1.988,1.2602,1.1892,10.57256535,0.595661117,6.5,7.75,6.25,0.009807548,75,17.622759682540543,-8.974502883629324,26.597262566169867,7C,7,44.65166821719851,29.585210750864814,-15.066457466333704,2711.917654256688,1796.8568374623856,-915.0608167943021,ambient
