chamber,initial_vol_L,volume_after_rock_L,rock_vol_L,chamber_vol_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,0.85,1.19,0.34,3.02,NA,2,8.956,0.0775,0.0729,0.8134,4.6348,1,0.7955,2.2007,1.3339,1.3001,0.5384,0.5046,2.191080293,0.13755296,12,8,4.5,0.013676214,NA,-7.7416308881715405,NA,7C,7,NA,NA,-56.28109266548346,NA,NA,-566.0653517246469,enriched
2,0.83,1.075,0.245,3.115,NA,2,11.391,0.07,0.096,0.8362,5.6482,2,0.8048,3.7766,1.9149,1.8695,1.1101,1.0647,3.348289228,0.136935709,9.5,8.25,3.5,0.010499673,8.41416366530223,-7.286501952567962,15.700665617870191,7C,7,114.65720470231905,61.446088290251815,-53.21111641206723,1495.3480568271214,801.3738775771617,-693.9741792499597,enriched
3,0.79,1,0.21,3.15,NA,3,20.0184,0.058,0.1145,0.7252,5.165,3,0.7862,3.1855,2.2309,2.1912,1.4447,1.405,9.07882043,0.249483748,11.25,7.5,3.75,0.011526869,30.4450239962922,-12.820772762694817,43.265796758987015,13C,13,173.42130341487018,122.03209323395366,-51.38921018091654,3753.4734505082874,2641.222347221279,-1112.2511032870086,enriched
4,0.79,1.176,0.386,2.974,NA,4,26.9196,0.0645,0.1489,0.7344,5.8788,4,0.7962,3.3666,1.9722,1.9323,1.176,1.1361,9.403389057,0.319043557,11,7,5.75,0.012907686,38.7953065457292,-12.987874779222997,51.783181324952196,16C,16,162.30756017101515,121.59877764191677,-40.708782529098364,4011.8098104456676,3005.5973274938046,-1006.2124829518627,enriched
5,0.8,0.92,0.12,3.24,NA,2,12.6004,0.0708,0.1572,0.7334,5.1362,5,0.807,3.0424,1.9734,1.9383,1.1664,1.1313,4.830760768,0.145370116,11,8.5,1.25,0.010376843,7.07915879411074,-6.151139047668357,13.230297841779098,7C,7,91.01112529743801,48.69748328542808,-42.31364201200993,1274.9829444060297,682.2073721372425,-592.7755722687871,enriched
6,0.8,1.075,0.275,3.085,NA,1,16.1033,0.0443,0.1278,0.6955,5.5053,6,0.8004,3.13,1.6973,1.6414,0.8969,0.841,4.614392898,0.287595677,11.25,8.5,3.5,0.012479205,24.2532525420041,-10.432330223595374,34.68558276559947,10C,10,120.60536906331687,84.33107477482737,-36.27429428848951,2779.470548452363,1943.493398978869,-835.977149473494,enriched
7,0.8,1.09,0.29,3.07,NA,4,23.3429,0.0528,0.0955,0.6829,6.3855,7,0.801,3.4087,2.2401,2.1977,1.4391,1.3967,9.855008475,0.290356723,10.5,7,4.5,0.011049785,32.37376651362,-13.688728150897937,46.062494664517935,16C,16,158.64104742812495,111.4965280608295,-47.144519367295445,4168.632662492341,2929.8096310127303,-1238.8230314796115,enriched
8,0.82,1.02,0.2,3.16,NA,4,15.5682,0.0418,0.0821,0.6284,5.0679,8,0.7895,3.8839,1.8419,1.7881,1.0524,0.9986,4.218433451,0.215651577,7.5,8.5,3.75,0.009058575,32.9398843128699,-13.427617679325985,46.36750199219588,16C,16,215.011189054258,152.74585408141903,-62.26533497283901,5118.630909629372,3636.3207582726754,-1482.3101513566965,enriched
9,0.85,1.15,0.3,3.06,NA,3,20.3375,0.0728,0.1112,0.9084,5.0198,9,0.7964,3.0916,1.9714,1.9307,1.175,1.1343,7.729513035,0.267737175,10,6,8,0.013364443,37.1830322266328,-15.236848017355749,52.419880243988544,13C,13,195.78857603165696,138.8788547075422,-56.90972132411478,3922.3393181435654,2782.2358347918275,-1140.1034833517379,enriched
10,0.81,1.15,0.34,3.02,NA,3,26.3066,0.088,0.1217,0.6589,5.1924,10,0.7887,3.432,1.6082,1.5539,0.8195,0.7652,6.28154391,0.416214563,11.5,8.5,3.5,0.01272603,32.8072404806286,-14.877076516890382,47.684316997518984,13C,13,114.56667122317627,78.82290385074441,-35.743767372431854,3746.990773832765,2577.9634717683834,-1169.0273020643817,enriched
11,0.83,1.18,0.35,3.01,NA,1,16.2782,0.0681,0.0869,0.7143,5.1293,11,0.8164,3.083,2.031,1.9894,1.2146,1.173,6.413072241,0.21964746,11.75,9,NA,0.011202224,23.6981059953239,-8.252272375186516,31.950378370510414,10C,10,145.46208897890472,107.89155492771872,-37.57053405118601,2852.145999804183,2115.482246679222,-736.6637531249612,enriched
12,0.81,1.28,0.47,2.89,NA,1,13.9341,0.0468,0.0988,0.7228,4.9992,12,0.8103,3.045,1.531,1.4692,0.7207,0.6589,3.297965803,0.282800453,9.75,6,8.5,0.013676774,26.0122327006708,-10.752714094076083,36.764946794746884,10C,10,130.00313968643778,91.9808735266446,-38.02226615979318,2688.130022090508,1901.9275086852208,-786.2025134052872,enriched
13,0.89,1.09,0.2,3.16,NA,4,19.1071,0.05,0.0981,0.4767,5.556,13,0.8068,3.5208,1.9757,1.913,1.1689,1.1062,6.343526809,0.340267885,8.25,6.75,4.5,0.008815914,36.2449344581484,-14.093162466333093,50.33809692448149,16C,16,147.93666738335148,106.51882253933074,-41.41784484402074,5709.912429327406,4111.30762597598,-1598.604803351427,enriched
14,0.825,1.16,0.335,3.025,NA,1,17.3965,0.0521,0.0985,0.607,5.3527,14,0.8019,4.0854,2.1544,2.0854,1.3525,1.2835,5.75923196,0.29381664,11.25,6.5,7.5,0.014676324,30.9689354146676,-8.988995463548354,39.957930878215954,10C,10,135.99614670638107,105.40225160381522,-30.593895102565853,2722.611662035804,2110.1288997617935,-612.4827622740105,enriched
15,0.85,1.18,0.33,3.03,NA,2,21.5344,0.0517,0.1025,0.6303,4.9896,15,0.8106,3.326,1.4045,1.3395,0.5939,0.5289,3.845243584,0.420846663,8.75,6.25,5.75,0.009975758,21.913367517111,-9.345440300917156,31.258807818028153,7C,7,74.27600255922226,52.0697190774945,-22.206283481727777,3133.4769566411046,2196.6618994878386,-936.8150571532666,enriched
16,0.8,1.1,0.3,3.06,NA,3,17.1268,0.0706,0.155,1.0874,5.179,16,0.7996,3.2785,1.6629,1.6113,0.8633,0.8117,4.509857081,0.269557078,11.5,9.25,4,0.014190019,27.124540045134,-12.345748484392187,39.47028852952619,13C,13,146.42645936949273,100.62633207922666,-45.8001272902661,2781.552902045176,1911.5224613253865,-870.0304407197896,enriched
