*minimum sample weight: 1g,,,,,, ,,,,,
experiment_date,chamber,tin_ID,tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_wet_wt_g,total_AFDW_g,total_DW_g
3/15/2021,1,1,0.799,1.5065,1.6707,1.6399,0.8717,0.8409,51.557,1.054069432,29.83221832
3/15/2021,2,2,0.7815,1.0428,1.3017,1.2798,0.5202,0.4983,14.94,0.313757192,7.452807825
3/15/2021,3,3,0.8048,1.2291,1.5154,1.486,0.7106,0.6812,38.888,0.930198682,22.48296542
3/15/2021,4,4,0.8079,1.402,1.5084,1.4774,0.7005,0.6695,43.745,0.967257489,21.85689907
3/15/2021,5,5,0.7996,1.3567,1.5998,1.564,0.8002,0.7644,25.386,0.669874549,14.97300597
3/15/2021,6,6,0.8033,1.4555,1.6466,1.6152,0.8433,0.8119,33.571,0.724238681,19.45065222
3/15/2021,7,7,0.7973,1.864,1.8964,1.8531,1.0991,1.0558,31.264,0.726250644,18.43469013
3/15/2021,8,8,0.8057,1.1682,1.4144,1.3416,0.6087,0.5359,27.413,1.708325972,14.283764
3/15/2021,9,9,0.805,1.1726,1.4904,1.4642,0.6854,0.6592,25.224,0.5635927,14.74375712
3/15/2021,10,10,0.8099,1.6646,1.7164,1.6737,0.9065,0.8638,28.836,0.739695542,15.70337258
3/15/2021,11,11,0.8065,1.2513,1.4279,1.3988,0.6214,0.5923,31.54,0.733488372,15.66287541
3/15/2021,12,12,0.7902,1.9074,1.9017,1.8611,1.1115,1.0709,34.597,0.73641512,20.16072428
3/15/2021,13,13,0.7976,1.238,1.5408,1.5187,0.7432,0.7211,24.786,0.442464136,14.8796084
3/15/2021,14,14,0.793,1.0891,1.3759,1.3417,0.5829,0.5487,10.127,0.318008815,5.420097604
3/15/2021,15,15,0.7977,1.173,1.3836,1.35,0.5859,0.5523,23.745,0.680163683,11.86035422
3/15/2021,16,16,0.7864,1.305,1.3378,1.308,0.5514,0.5216,43.672,0.997260996,18.45267494
4/7/2021,1,1,0.8,1.181,1.1763,1.1367,0.3763,0.3367,30.4,1.019339543,9.686299746
4/7/2021,2,2,0.7996,1.1625,1.1721,1.1369,0.3725,0.3373,22.774,0.689586925,7.297475269
4/7/2021,3,3,0.7954,1.2202,1.297,1.2425,0.5016,0.4471,12.935,0.577739305,5.317321751
4/7/2021,4,4,0.8158,1.4389,1.4445,1.4026,0.6287,0.5868,42.414,1.235073042,18.53199097
4/7/2021,5,5,0.794,1.7173,1.8411,1.8091,1.0471,1.0151,44.929,0.837202585,27.39483835
4/7/2021,6,6,0.7973,1.7509,1.2585,1.1897,0.4612,0.3924,27.251,1.070802901,7.178114798
4/7/2021,7,7,0.7988,1.2126,1.4885,1.4649,0.6897,0.6661,32.835,0.639045027,18.67582014
4/7/2021,8,8,0.8222,1.399,1.5137,1.4797,0.6915,0.6575,22.109,0.537316655,10.92807255
4/7/2021,9,9,0.8212,1.1004,1.1698,1.1256,0.3486,0.3044,25.403,1.020367684,8.047515267
4/7/2021,10,10,0.8153,1.2623,1.4488,1.4107,0.6335,0.5954,46.382,1.399947873,23.27734849
4/7/2021,11,11,0.7942,1.1963,1.4447,1.4174,0.6505,0.6232,33.563,0.765919836,18.25021441
4/7/2021,12,12,0.8183,1.1298,1.0931,1.0505,0.2748,0.2322,14.709,0.554614445,3.577653744
4/7/2021,13,13,0.8008,1.1501,1.1562,1.1233,0.3554,0.3225,27.304,0.781063907,8.437389444
4/7/2021,14,14,0.8242,1.1108,1.3421,1.3094,0.5179,0.4852,22.552,0.66389125,10.51465682
4/7/2021,15,15,0.7948,1.4094,1.2222,1.1517,0.4274,0.3569,20.166,1.008729246,6.11533163
4/7/2021,16,16,0.8091,1.8269,1.4505,1.3937,0.6414,0.5846,32.956,1.024632328,11.57040801
4/21/2021,1,1,0.8046,1.0183,1.1644,1.1262,0.3598,0.3216,8.956,0.335970932,3.164459197
4/21/2021,2,2,0.8122,1.0376,1.2657,1.2305,0.4535,0.4183,11.391,0.386433308,4.978622301
4/21/2021,3,3,0.805,1.99,1.9731,1.926,1.1681,1.121,20.0184,0.473802332,11.75049902
4/21/2021,4,4,0.8072,1.2906,1.2113,1.1771,0.4041,0.3699,26.9196,0.713350628,8.428800837
4/21/2021,5,5,0.7943,1.0955,1.4931,1.463,0.6988,0.6687,12.6004,0.346209073,8.037571447
4/21/2021,6,6,0.801,1.3932,1.3036,1.2574,0.5026,0.4564,16.1033,0.534002627,5.809301306
4/21/2021,7,7,0.7977,1.9079,1.6587,1.6032,0.861,0.8055,23.3429,0.679035039,10.53421925
4/21/2021,8,8,0.8011,1.1572,1.3747,1.3314,0.5736,0.5303,15.5682,0.582529433,7.716833322
4/21/2021,9,9,0.8088,1.8867,1.6252,1.574,0.8164,0.7652,20.3375,0.551905443,8.800304765
4/21/2021,10,10,0.7918,1.4106,1.209,1.1672,0.4172,0.3754,26.3066,0.7795377,7.780457621
4/21/2021,11,11,0.8143,1.1493,1.5673,1.5343,0.753,0.72,16.2782,0.467398068,10.66517411
4/21/2021,12,12,0.8137,1.5056,1.3313,1.1668,0.5176,0.3531,13.9341,1.522422589,4.790309617
4/21/2021,13,13,0.7922,1.4833,1.4432,1.3951,0.651,0.6029,19.1071,0.619599211,8.385843794
4/21/2021,14,14,0.8022,1.799,1.5364,1.4843,0.7342,0.6821,17.3965,0.503811923,7.09978338
4/21/2021,15,15,0.7949,1.2182,1.0758,1.0261,0.2809,0.2312,21.5344,0.878558266,4.965533541
4/21/2021,16,16,0.8025,1.1024,1.1752,1.1371,0.3727,0.3346,17.1268,0.591918614,5.79023799
6/13/2021,1,1,0.8093,0.5602,0.949,0.916,0.1397,0.1067,4.3308,0.255116744,1.079994216
6/13/2021,2,2,0.8015,1.0787,1.023,0.9657,0.2215,0.1642,4.9002,0.260296153,1.006205896
6/13/2021,3,3,0.8023,1.4069,1.1691,1.1019,0.3668,0.2996,26.2038,1.251613732,6.831724956
6/13/2021,4,4,0.8076,1.3625,0.9909,0.9129,0.1833,0.1053,15.301,0.875947156,2.058475817
6/13/2021,5,5,0.8058,1.3535,1.3507,1.3067,0.5449,0.5009,27.7598,0.902424233,11.17570375
6/13/2021,6,6,0.7973,1.0251,0.9896,0.9294,0.1923,0.1321,4.7795,0.280680812,0.896593357
6/13/2021,7,7,0.7929,1.0617,1.0414,0.9867,0.2485,0.1938,5.0533,0.260351804,1.182768249
6/13/2021,8,8,0.7975,1.0222,0.9219,0.8638,0.1244,0.0663,14.7552,0.838658893,1.795682724
6/13/2021,9,9,0.8076,1.0207,0.9872,0.9366,0.1796,0.129,6.4551,0.320003978,1.135824395
6/13/2021,10,10,0.7982,1.1293,1.2807,1.2455,0.4825,0.4473,9.3631,0.291845497,4.000438989
6/13/2021,11,11,0.8026,1.1037,1.0054,0.9382,0.2028,0.1356,5.9851,0.364409459,1.099735689
6/13/2021,12,12,0.8,1.2889,1.0637,0.9999,0.2637,0.1999,6.05154,0.299548648,1.23810311
6/13/2021,13,13,0.7977,1.0994,0.9648,0.8937,0.1671,0.096,8.7071,0.563102429,1.323409505
6/13/2021,14,14,0.7973,1.0449,0.9622,0.896,0.1649,0.0987,9.5191,0.603085865,1.502248627
6/13/2021,15,15,0.8051,1.0688,0.9751,0.9168,0.17,0.1117,7.2382,0.394823222,1.151285554
6/13/2021,16,16,0.7935,1.0677,1.05601,0.9999,0.26251,0.2064,5.5689,0.29265803,1.369197283
8/8/2021,1,1,0.8056,1.1322,0.9315,0.8467,0.1259,0.0411,4.363,0.326781841,0.485163134
8/8/2021,2,2,0.80624,1.0841,0.9292,0.8634,0.12296,0.05716,6.2695,0.380530486,0.711094659
8/8/2021,3,3,0.7964,1.1666,0.9325,0.8554,0.1361,0.059,5.5885,0.369341119,0.651975699
8/8/2021,4,4,0.8073,1.0274,0.9176,0.8504,0.1103,0.0431,3.4118,0.223158419,0.366285322
8/8/2021,5,5,0.8027,1.0343,0.9081,0.8531,0.1054,0.0504,8.8406,0.470108286,0.900898424
8/8/2021,6,6,0.803,1.0347,0.913,0.8512,0.11,0.0482,3.799,0.22690461,0.403875519
8/8/2021,7,7,0.7929,1.035,0.9013,0.8372,0.1084,0.0443,7.7272,0.478563787,0.809302879
8/8/2021,8,8,0.8045,0.3183,0.9077,0.8884,0.1032,0.0839,3.3087,0.200621772,1.07275476
8/8/2021,9,9,0.8138,1.0108,0.9672,0.8966,0.1534,0.0828,4.9304,0.344367076,0.748242343
8/8/2021,10,10,0.7973,1.0588,0.9237,0.8549,0.1264,0.0576,5.2748,0.342752399,0.629707896
8/8/2021,11,11,0.8026,1.0404,0.96,0.8964,0.1574,0.0938,5.7845,0.35360842,0.87512524
8/8/2021,12,12,0.7921,1.036,0.9167,0.8414,0.1246,0.0493,5.4934,0.399278977,0.660692703
8/8/2021,13,13,0.8056,1.0437,0.9563,0.8876,0.1507,0.082,5.6774,0.37370641,0.81976064
8/8/2021,14,14,0.809,1.5288,0.9461,0.8554,0.1371,0.0464,12.6914,0.752950013,1.138141641
8/8/2021,15,15,0.8051,0.7064,0.8725,0.8282,0.0674,0.0231,5.7329,0.359523599,0.546995272
8/8/2021,16,16,0.8011,1.0906,0.9386,0.8663,0.1375,0.0652,5.8931,0.390675894,0.742986659
10/10/2021,1,1,0.7976,1.1648,0.9371,0.8482,0.1395,0.0506,12.3975,0.946203425,1.484762406
10/10/2021,2,2,0.8052,1.4643,0.9955,0.8813,0.1903,0.0761,16.8668,1.315433012,2.192004398
10/10/2021,3,3,0.7894,1.2381,0.9332,0.8439,0.1438,0.0545,12.8711,0.928349269,1.494923011
10/10/2021,4,4,0.7963,1.0407,0.9147,0.8402,0.1184,0.0439,10.5136,0.752631114,1.196127837
10/10/2021,5,5,0.7969,1.0999,0.9335,0.856,0.1366,0.0591,9.7732,0.688628966,1.213764088
10/10/2021,6,6,0.808,1.0174,0.9222,0.8493,0.1142,0.0413,10.0853,0.722644358,1.1320437
10/10/2021,7,7,0.8048,1.0887,0.9251,0.8494,0.1203,0.0446,12.3649,0.859762037,1.366306117
10/10/2021,8,8,0.7956,1.0424,0.9245,0.8505,0.1289,0.0549,11.883,0.843574444,1.469415483
10/10/2021,9,9,0.7975,1.4188,0.9609,0.862,0.1634,0.0645,18.0039,1.254994157,2.073468607
10/10/2021,10,10,0.8079,1.0476,0.9453,0.8624,0.1374,0.0545,6.9381,0.54903445,0.909979897
10/10/2021,11,11,0.8072,1.1181,0.9386,0.8545,0.1314,0.0473,7.2569,0.545841418,0.852836651
10/10/2021,12,12,0.797,1.1891,0.9311,0.8456,0.1341,0.0486,13.4117,0.964343075,1.51249598
10/10/2021,13,13,0.8098,1.1646,0.9479,0.8553,0.1381,0.0455,10.2887,0.818077984,1.220049347
10/10/2021,14,14,0.8122,1.5276,0.9971,0.8853,0.1849,0.0731,17.1187,1.252861129,2.072039559
10/10/2021,15,15,0.7873,1.3148,0.9703,0.8484,0.183,0.0611,16.1185,1.494406107,2.243448053
10/10/2021,16,16,0.8026,1.0648,0.9268,0.8467,0.1242,0.0441,9.7009,0.729754029,1.131528719
28-Nov,1,1,0.808,0.2378,0.8527,0.8316,0.0447,0.0236,4.5506,0.403774853,0.855390328
28-Nov,2,2,0.7938,1.0746,1.0223,0.9505,0.2285,0.1567,5.2605,0.35148325,1.118578308
28-Nov,3,3,0.8013,1.0708,1.0467,0.9724,0.2454,0.1711,15.4485,1.071930846,3.540401476
28-Nov,4,4,0.8005,1.1066,0.9452,0.8585,0.1447,0.058,8.4891,0.665104798,1.110042265
28-Nov,5,5,0.7965,1.0271,0.9495,0.8705,0.153,0.074,5.146,0.395807614,0.766564113
28-Nov,6,6,0.7883,1.0094,0.9568,0.8757,0.1685,0.0874,12.0737,0.97005852,2.015473004
28-Nov,7,7,0.8081,0.6874,0.9285,0.8737,0.1204,0.0656,5.6765,0.452534478,0.994254582
28-Nov,8,8,0.8094,1.0308,0.9406,0.8608,0.1312,0.0514,6.7566,0.52306624,0.85997858
28-Nov,9,9,0.7943,1.3917,1.0465,0.9444,0.2522,0.1501,13.8302,1.014632047,2.506270346
28-Nov,10,10,0.8154,1.0582,1.0148,0.9312,0.1994,0.1158,8.0207,0.633651975,1.511366074
28-Nov,11,11,0.8089,1.0951,0.9907,0.9096,0.1818,0.1007,12.3402,0.913880212,2.048624199
28-Nov,12,12,0.814,1.0141,0.9704,0.8977,0.1564,0.0837,12.5272,0.898064727,1.932012701
28-Nov,13,13,0.7932,1.0085,1.0469,0.9686,0.2537,0.1754,6.063,0.470731681,1.525218741
28-Nov,14,14,0.8141,1.0669,1.0058,0.9252,0.1917,0.1111,10.7494,0.812073896,1.931446227
28-Nov,15,15,0.799,0.8804,0.9622,0.8955,0.1632,0.0965,4.1662,0.315635552,0.772289687
28-Nov,16,16,0.807,1.3743,0.987,0.8895,0.18,0.0825,10.5088,0.745549007,1.376398166
2/27/2022,1,1,0.8071,5.62,1.9339,1.6943,1.1268,0.8872,15.041,0.641249751,3.015693737
2/27/2022,2,2,0.7916,2.2989,1.1841,1.0776,0.3925,0.286,15.1657,0.702573861,2.589298034
2/27/2022,3,3,0.808,2.2626,1.1037,0.9817,0.2957,0.1737,6.8972,0.371898877,0.901397525
2/27/2022,4,4,0.7917,2.2196,1.1462,1.0416,0.3545,0.2499,14.0801,0.663533276,2.248781515
2/27/2022,5,5,0.7971,2.9933,1.2717,1.1207,0.4746,0.3236,11.1601,0.562982361,1.769479658
2/27/2022,6,6,0.7987,1.4544,0.9912,0.9238,0.1925,0.1251,4.4917,0.208154964,0.594507873
2/27/2022,7,7,0.7928,2.2988,1.1131,1.0042,0.3203,0.2114,10.7666,0.510041213,1.500148765
2/27/2022,8,8,0.8038,3.1785,1.5197,1.4132,0.7159,0.6094,23.5461,0.788944361,5.303335847
2/27/2022,9,9,0.7938,2.5595,1.1905,1.0474,0.3967,0.2536,8.9906,0.502658668,1.393463966
2/27/2022,10,10,0.7984,2.315,1.237,1.0923,0.4386,0.2939,12.7664,0.797968933,2.418722695
2/27/2022,11,11,0.798,2.2421,1.2443,1.1146,0.4463,0.3166,8.2747,0.478671152,1.647115923
2/27/2022,12,12,0.8002,2.1561,1.0547,0.9226,0.2545,0.1224,10.1442,0.621515152,1.197392932
2/27/2022,13,13,0.8075,2.4316,1.6103,1.4638,0.8028,0.6563,12.3788,0.745802846,4.086897779
2/27/2022,14,14,0.8086,1.89,1.1831,1.0356,0.3745,0.227,7.4538,0.581711905,1.476956667
2/27/2022,15,15,0.7923,1.6308,1.032,0.9398,0.2397,0.1475,7.3743,0.416918359,1.083897296
2/27/2022,16,16,0.7927,1.61,0.9507,0.8659,0.158,0.0732,6.6631,0.350950857,0.653894286
